plot,logger,serial,start,end,pu1_P_RT_NRT,pu2_1,pu2_2,wxt_SWDR_300,wxt_SWUR_300,wxt_LWDR_300,wxt_LWUR_300,SERIAL_PYR01,SERIAL_PYR02,SERIAL_PAR01,SERIAL_PAR02,pu2_1_type,pu2_2_type
mai3,pu1,80081025282,2014-04-15,*,0.2,,,,,,,,,,,,
mai3,rug,51021020199,*,2012-10-20,,,,,,,,,,,,,
mai3,rug,51021020160,2012-11-24,*,,,,,,,,,,,,,
mai3,rug,80121421102,2015-03-30,*,,,,,,,,,,,,,
mai4,rug,51021020176,2011-03-07,2011-04-14,,,,,,,,,,,,,
mai4,rug,51021020203,2011-04-15,*,,,,,,,,,,,,,
mai4,rug,80011521128,2015-03-30,*,,,,,,,,,,,,,
mai5,rug,51021020213,*,*,,,,,,,,,,,,,
mcg0,pu1,80081025279,2012-10-25,*,0.203,,,,,,,,,,,,
mch0,pu2,80081025293,2012-10-12,*,,0.201,0.199,,,,,,,,,rain,fog
mch0,rad,80091025306,2012-10-12,*,,,,,,,,21,22,,,,
mwh0,gp1,80091225860,2012-01-01,*,,0.9,35,,,,,,,,,,
mwh0,pu2,80081025295,2012-10-15,*,,0.2,0.2,,,,,,,,,fog,rain
mwh0,pu2,80101326134,2014-04-19,2014-10-20,0.2,0.2,,,,,,,,,,fog,rain
nkw1,pu1,80081025285,*,2012-10-30,0.201,,,,,,,,,,,,
nkw1,pu1,80081025283,2011-03-20,2011-03-28,0.2,,,,,,,,,,,,
nkw1,pu1,80021526457,2015-04-30,*,0.2,,,,,,,,,,,,
nkw1,pu2,80081025297,2012-10-29,2014-09-23,,0.201,0.2,,,,,,,,,fog,rain
nkw1,rug,51021020196,2011-02-26,2011-04-11,,,,,,,,,,,,,
nkw1,tfi,9,2012-01-01,*,0.0198915706,0.0198915706,0.001,,,,,,,,,,
nkw1,wxt,80031130065,*,2012-10-26,,,,16,17.59,9.14,9.73,LWDR,LWUR,SWDR,SWUR,,
nkw1,wxt,80091030031,2011-02-14,2011-06-08,,,,16,17.59,9.14,9.73,SWDR,SWUR,LWDR,LWUR,,
sav0,pu1,80081025288,*,*,0.198,,,,,,,,,,,,
sav0,wxt,80031130066,*,2013-01-01,,,,19.26,16.67,9.76,7.81,LWDR,LWUR,SWDR,SWUR,,
sav0,wxt,80091030033,2011-04-07,2011-08-25,,,,19.26,16.67,9.76,7.81,SWDR,SWUR,LWDR,LWUR,,
sav0,wxt,80031130066,2013-01-01,2014-02-20,,,,19.26,16.67,9.76,7.81,LWDR,LWUR,SWUR,SWDR,,
sav0,wxt,80031130064,2014-02-21,2015-03-24,,,,18.9,15.02,10.53,8.64,LWDR,LWUR,SWUR,SWDR,,
sav0,wxt,80041130072,2015-05-08,*,,,,16,17.59,9.14,9.73,LWDR,LWUR,SWDR,SWUR,,
sav1,rug,51021020162,*,*,,,,,,,,,,,,,
sav1,rug,51021020216,2011-03-01,2011-06-28,,,,,,,,,,,,,
sav2,rug,51021020221,2011-02-16,2011-02-23,,,,,,,,,,,,,
sav2,rug,51021020183,2011-06-26,2012-01-11,,,,,,,,,,,,,
sav2,rug,51021020188,2011-12-27,2015-05-21,,,,,,,,,,,,,
sav3,rug,51021020192,2010-12-14,2011-06-25,,,,,,,,,,,,,
sav3,rug,51021020196,2011-07-08,*,,,,,,,,,,,,,
sav4,rug,51021020176,2010-12-20,2011-02-19,,,,,,,,,,,,,
sav4,rug,51021020160,2011-02-18,2012-05-06,,,,,,,,,,,,,
sav4,rug,51081020287,2012-05-07,*,,,,,,,,,,,,,
sav5,rug,51021020211,*,*,,,,,,,,,,,,,
sav5,rug,51021020218,2010-12-15,2011-02-19,,,,,,,,,,,,,
sav5,tfi,1,2012-01-01,*,0.1273239545,0.0565884242,0.001,,,,,,,,,,
