plot,general,lat,lon,is_station,logger
ROYAL NATIONAL PARK,SAWS,-28.6858,28.9542,Y,SAWS_logger
RUSTENBURG,SAWS,-25.65,27.233,Y,SAWS_logger
Ratelgat,SASSCAL_south_africa,-31.28616,18.60281,Y,SASSCAL_logger
Rooisand,SASSCAL_namibia,-23.294528,16.114667,Y,SASSCAL_logger
S A ASTRONOMICAL OBSERVATORY,SAWS,-33.935,18.4775,Y,SAWS_logger
SALDANHA KUSPATROLLIE ARS,SAWS,-33.016,17.947,Y,SAWS_logger
SECUNDA,SAWS,-26.4989,29.1878,Y,SAWS_logger
SHALEBURN,SAWS,-29.7869,29.3525,Y,SAWS_logger
SKUKUZA,SAWS,-24.9927,31.588,Y,SAWS_logger
SOMERSET EAST,SAWS,-33.0497,25.7192,Y,SAWS_logger
SOSHANGUVE (TSWAING)  ARS,SAWS,-25.4219,28.0794,Y,SAWS_logger
SPRINGS,SAWS,-26.2058,28.4386,Y,SAWS_logger
ST ALBANS PRISON ARS,SAWS,-33.9052,25.3453,Y,SAWS_logger
STEENBOKFONTEIN ARS,SAWS,-24.0514,28.0878,Y,SAWS_logger
STERKFONTEIN ARS,SAWS,-26.0175,27.7319,Y,SAWS_logger
STORMRIVER - WITTEKLIP ARS,SAWS,-33.9531,23.8769,Y,SAWS_logger
STORMRIVER FOREST FERN FARM ARS,SAWS,-34.0299,24.0035,Y,SAWS_logger
STRAND,SAWS,-34.1411,18.8489,Y,SAWS_logger
STRUISBAAI,SAWS,-34.8008,20.0589,Y,SAWS_logger
SUTHERLAND,SAWS,-32.4,20.663,Y,SAWS_logger
SWARTKLIP NOOITGEDACHT ARS,SAWS,-24.8919,27.1525,Y,SAWS_logger
SWEETWATER ARS,SAWS,-29.91,26.992,Y,SAWS_logger
SWELLENDAM,SAWS,-34.022,20.437,Y,SAWS_logger
SWELLENDAM - MARLOTH ARS,SAWS,-34.005,20.44,Y,SAWS_logger
SWELLENDAM - NAPKYSMOND ARS,SAWS,-34.22,20.514,Y,SAWS_logger
Sachinga,SASSCAL_namibia,-17.673667,24.031889,Y,SASSCAL_logger
Samfya,SASSCAL_zambia,-11.37119,29.56057,Y,SASSCAL_logger
Sandveld,SASSCAL_namibia,-22.0445,19.1321,Y,SASSCAL_logger
Serenje,SASSCAL_zambia,-13.2267,30.21508,Y,SASSCAL_logger
Sesheke,SASSCAL_zambia,-17.4711,24.3013,Y,SASSCAL_logger
Shakawe,SASSCAL_botswana,-18.368556,21.839306,Y,SASSCAL_logger
Soebatsfontein,SASSCAL_south_africa,-30.18294,17.55062,Y,SASSCAL_logger
Sonop Research Station,SASSCAL_namibia,-19.0101,18.9039,Y,SASSCAL_logger
Sophies Hoogte,SASSCAL_namibia,-23.00681496,14.89086597,Y,SASSCAL_logger
Sowa,SASSCAL_botswana,-20.547417,26.078417,Y,SASSCAL_logger
Station 8,SASSCAL_namibia,-23.26530003,15.05627202,Y,SASSCAL_logger
